iter	Passed	Remaining
447	2067	239
448	2073	235
449	2078	230
450	2083	226
451	2089	221
452	2094	217
453	2098	212
454	2103	208
455	2108	203
456	2113	198
457	2118	194
458	2122	189
459	2127	184
460	2131	180
461	2136	175
462	2141	171
463	2145	166
464	2150	161
465	2155	157
466	2160	152
467	2164	148
468	2170	143
469	2174	138
470	2179	134
471	2184	129
472	2189	125
473	2194	120
474	2199	115
475	2204	111
476	2208	106
477	2213	101
478	2218	97
479	2222	92
480	2227	87
481	2231	83
482	2236	78
483	2240	74
484	2245	69
485	2249	64
486	2255	60
487	2259	55
488	2263	50
489	2268	46
490	2273	41
491	2277	37
492	2282	32
493	2287	27
494	2291	23
495	2296	18
496	2300	13
497	2305	9
498	2309	4
499	2314	0
