iter	RMSE
236	113054.89
237	113040.7446
238	113028.5248
239	113015.6001
240	113007.5816
241	112996.9947
242	112989.139
243	112979.8648
244	112969.2459
245	112961.6407
246	112942.1766
247	112931.0537
248	112917.5496
249	112904.3945
250	112893.2684
251	112883.3422
252	112875.5186
253	112865.7711
254	112856.0984
255	112836.7671
256	112830.8236
257	112819.1406
258	112813.1098
259	112800.5078
260	112788.1967
261	112775.5489
262	112763.0564
263	112747.9679
264	112738.5076
265	112726.6088
266	112717.0722
267	112708.1368
268	112697.1819
269	112687.9888
270	112671.5892
271	112661.6242
272	112654.877
273	112640.8191
274	112634.5449
275	112616.8116
276	112602.9855
277	112597.8409
278	112588.0186
279	112582.357
280	112571.5043
281	112566.622
282	112559.2067
283	112548.3485
284	112539.3993
285	112532.0019
286	112519.4337
287	112495.2756
288	112485.8465
289	112475.7239
290	112457.0222
291	112451.2707
292	112446.101
293	112428.0805
294	112421.7018
295	112417.2585
296	112408.2129
297	112403.5477
298	112398.472
299	112397.0535
300	112380.7064
301	112365.6754
302	112355.2892
303	112342.1075
304	112335.2132
305	112328.1858
306	112318.8114
307	112309.0667
308	112301.0967
309	112291.2971
310	112283.9473
311	112277.1355
312	112271.9666
313	112258.8624
314	112253.5185
315	112245.4996
316	112240.9595
317	112234.3234
318	112224.6731
319	112221.2173
320	112213.2034
321	112205.0404
322	112198.1546
323	112190.0556
324	112181.9998
325	112168.6119
326	112162.9632
327	112158.4783
328	112151.3516
329	112141.4521
330	112136.9751
331	112128.607
332	112114.9218
333	112108.3971
334	112098.4605
335	112089.3605
336	112077.1061
337	112071.4477
338	112063.431
339	112054.2748
340	112047.6116
341	112036.7627
342	112027.4063
343	112021.9198
344	112014.145
345	112007.7285
346	112002.1261
347	111995.5361
348	111988.6122
349	111978.6937
350	111970.5238
351	111966.2634
352	111957.22
353	111952.7653
354	111946.0146
355	111941.5376
356	111934.5486
357	111931.8961
358	111927.1175
359	111919.2882
360	111915.868
361	111899.0453
362	111893.3316
363	111886.1616
364	111879.6107
365	111875.8171
366	111866.0072
367	111859.4372
368	111853.942
369	111849.5837
370	111843.2279
371	111840.5662
372	111834.1942
373	111828.4086
374	111821.7429
375	111815.1992
376	111808.9198
377	111799.7252
378	111793.7405
379	111788.7549
380	111784.2387
381	111774.3563
382	111766.0093
383	111761.0919
384	111756.8661
385	111746.9504
386	111741.206
387	111736.3606
388	111731.9341
389	111727.3248
390	111721.9585
391	111715.6193
392	111714.2042
393	111705.9523
394	111702.2885
395	111693.7111
396	111689.9651
397	111683.7163
398	111678.5937
399	111675.0328
400	111670.204
401	111663.8605
402	111658.8067
403	111655.4114
404	111650.681
405	111638.8465
406	111634.0276
407	111628.1565
408	111625.3461
409	111618.0816
410	111607.5528
411	111596.4644
412	111591.9668
413	111585.8488
414	111581.9728
415	111573.8499
416	111565.3687
417	111562.466
418	111557.8926
419	111554.6294
420	111551.2387
421	111545.7004
422	111541.4351
423	111536.3014
424	111533.0797
425	111530.1069
426	111527.2842
427	111521.121
428	111517.5578
429	111515.3
430	111506.5179
431	111502.0122
432	111498.1633
433	111495.341
434	111492.8243
435	111489.9258
436	111481.8084
437	111476.007
438	111472.8989
439	111471.1841
440	111468.895
441	111465.3548
442	111455.3529
443	111449.9494
444	111443.7388
445	111440.1545
446	111437.2569
447	111431.0429
448	111427.3762
449	111423.7003
450	111419.0764
451	111411.8175
452	111406.5282
453	111400.2332
454	111392.2556
455	111387.7162
456	111382.1263
457	111376.6046
458	111372.0375
459	111368.7334
460	111364.2285
461	111360.6267
462	111350.4194
463	111348.0358
464	111346.1087
465	111342.6769
466	111337.6759
467	111331.1807
468	111328.0554
469	111320.8584
470	111314.6514
471	111309.8915
472	111305.8251
473	111302.455
474	111298.7841
475	111295.2332
476	111289.3394
477	111285.6217
478	111281.5128
479	111276.2427
480	111271.1995
481	111265.9667
482	111263.5287
483	111260.1274
484	111254.3684
485	111248.6432
486	111245.156
487	111241.6618
488	111234.6019
489	111230.5477
490	111228.7054
491	111224.3744
492	111220.8543
493	111216.0071
494	111212.0537
495	111209.0273
496	111205.5936
497	111198.0084
498	111195.3305
499	111191.844
